site,street,suburb,state,date,arrival,departure,contact,lng,lat,geometry,time
Assembly The People's Pub,11 Lonsdale Street,Braddon,ACT,2021-08-07,19:00:00,23:59:00,investigation location,149.1322968,-35.2743976,POINT (149.1322968 -35.2743976),4.0
Fiction Bar,50 Bunda Street,Canberra City,ACT,2021-08-07,21:00:00,23:59:00,close,149.1316294,-35.2778169,POINT (149.1316294 -35.2778169),2.0
Assembly The People’s Pub,11 Lonsdale Street,Braddon,ACT,2021-08-08,20:00:00,21:00:00,close,149.1322968,-35.2743976,POINT (149.1322968 -35.2743976),1.0
"Boost Juice, Canberra Outlet Centre",337 Canberra Avenue,Fyshwick,ACT,2021-08-08,13:35:00,14:05:00,casual,149.1776894,-35.337263,POINT (149.1776894 -35.337263),0.0
Canberra Outlet Centre,377 Canberra Avenue,Fyshwick,ACT,2021-08-08,14:00:00,15:30:00,monitor,149.1786827,-35.3367379,POINT (149.1786827 -35.3367379),1.0
"Central Food Court, Canberra Outlet Centre",337 Canberra Avenue,Fyshwick,ACT,2021-08-08,13:30:00,14:30:00,casual,149.1786827,-35.3367379,POINT (149.1786827 -35.3367379),1.0
Coles Amaroo,Horse Park Drive,Amaroo,ACT,2021-08-08,16:00:00,16:20:00,casual,149.1317816,-35.1646128,POINT (149.1317816 -35.1646128),0.0
Downer Community Centre,6 Frencham Place,Downer,ACT,2021-08-08,13:00:00,18:00:00,close,149.1445996,-35.2448948,POINT (149.1445996 -35.2448948),5.0
Fiction Bar,50 Bunda Street,Canberra City,ACT,2021-08-08,00:00:00,04:45:00,close,149.1316294,-35.2778169,POINT (149.1316294 -35.2778169),4.0
"Freedom Furniture, Canberra Outlet Centre","T27, 337 Canberra Avenue",Fyshwick,ACT,2021-08-08,14:00:00,14:20:00,close,149.1786827,-35.3367379,POINT (149.1786827 -35.3367379),0.0
JB HiFi Canberra Outlet Centre,"T26, 337 Canberra Avenue",Fyshwick,ACT,2021-08-08,14:15:00,14:55:00,close,149.1783856,-35.3366103,POINT (149.1783856 -35.3366103),0.0
"TK Maxx, Canberra Outlet Centre","X20, 337 Canberra Avenue",Fyshwick,ACT,2021-08-08,15:10:00,15:40:00,close,149.1786827,-35.3367379,POINT (149.1786827 -35.3367379),0.0
U14 girls AFL Ainslie Red vs Belconnen Black,Aranda Playing Fields,Aranda,ACT,2021-08-08,09:00:00,11:30:00,monitor,149.0800225,-35.2536251,POINT (149.0800225 -35.2536251),2.0
"Windsor Smith, Canberra Outlet Centre","T103, 337 Canberra Avenue",Fyshwick,ACT,2021-08-08,14:45:00,15:15:00,close,149.1786827,-35.3367379,POINT (149.1786827 -35.3367379),0.0
Al Manoosh Bakery,47 Mawson Place,Mawson,ACT,2021-08-09,12:00:00,13:00:00,close,149.094998,-35.3654797,POINT (149.094998 -35.3654797),1.0
Bunnings Canberra Airport,971 Majura Road,Canberra Airport,ACT,2021-08-09,09:00:00,10:30:00,casual,149.191257,-35.293175,POINT (149.191257 -35.293175),1.0
Canberra Centre,"Canberra Centre, 148 Bunda Street",Canberra City,ACT,2021-08-09,10:30:00,12:00:00,monitor,149.1332559,-35.2802271,POINT (149.1332559 -35.2802271),1.0
Canberra Centre Subway and Food Court,"Canberra Centre, 148 Bunda Street",Canberra City,ACT,2021-08-09,10:30:00,12:00:00,casual,149.1332559,-35.2802271,POINT (149.1332559 -35.2802271),1.0
Club Lime - CISAC (gym only),100 Eastern Valley Way,Bruce,ACT,2021-08-09,19:00:00,21:00:00,close,149.0749404,-35.2419481,POINT (149.0749404 -35.2419481),2.0
Club Lime Mawson,Mawson Drive,Mawson,ACT,2021-08-09,16:30:00,18:30:00,close,149.0944679,-35.3652383,POINT (149.0944679 -35.3652383),2.0
Club Lime Phillip,Bradley Street,Phillip,ACT,2021-08-09,17:30:00,19:30:00,close,149.0875902,-35.3460021,POINT (149.0875902 -35.3460021),2.0
"Engineering House, Tenancy 7/8, level 2",11 National Circuit,Barton,ACT,2021-08-09,06:15:00,15:30:00,close,149.1330593,-35.3083525,POINT (149.1330593 -35.3083525),9.0
Gold Creek School (including early childhood learning),Kelleway Avenue,Nicholls,ACT,2021-08-09,08:25:00,17:00:00,close,149.0941286,-35.1799885,POINT (149.0941286 -35.1799885),8.0
"Gold Creek School, Senior Campus Gym",Kelleway Avenue,Nicholls,ACT,2021-08-09,17:00:00,21:30:00,close,149.0941286,-35.1799885,POINT (149.0941286 -35.1799885),4.0
"Gold Creek School, Senior Campus Gym",Kelleway Avenue,Nicholls,ACT,2021-08-09,17:00:00,22:00:00,close,149.0941286,-35.1799885,POINT (149.0941286 -35.1799885),5.0
