bin,apartments,houses/land
50000,0,0
100000,0,0
150000,5,5
200000,42,16
250000,94,11
300000,246,54
350000,512,83
400000,627,145
450000,825,166
500000,866,229
550000,809,318
600000,739,398
650000,675,479
700000,471,486
750000,383,515
800000,248,584
850000,187,479
900000,133,375
950000,90,316
1000000,88,262
1050000,63,178
1100000,65,177
1150000,46,135
1200000,51,151
1250000,27,134
1300000,44,114
1350000,29,102
1400000,32,89
1450000,19,63
1500000,22,58
1550000,16,33
1600000,10,53
1650000,11,46
1700000,16,34
1750000,8,27
1800000,9,23
1850000,9,22
1900000,4,23
1950000,7,14
2000000,8,15
